latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
25.13181,117.08737,371.0,28800,Asia/Shanghai,CST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2022-11-25,63,19.1,17.8,18.4,22.0,19.8,21.0,2022-11-25T06:35,2022-11-25T17:22,38775.26,0.00,39.20,39.20,0.00,23.0,6.5,19.4,345,2.12,0.51
2022-11-26,53,23.5,16.8,19.4,24.6,18.3,20.9,2022-11-26T06:36,2022-11-26T17:21,38725.21,26160.62,1.00,1.00,0.00,3.0,11.3,30.2,29,11.09,2.08
2022-11-27,51,23.4,16.4,19.7,24.6,18.3,21.7,2022-11-27T06:37,2022-11-27T17:21,38676.54,11103.30,1.40,1.40,0.00,8.0,14.2,37.8,204,7.71,1.60
2022-11-28,53,25.5,19.8,22.0,27.9,22.5,24.7,2022-11-28T06:37,2022-11-28T17:21,38629.33,22608.44,2.60,2.60,0.00,11.0,15.9,45.0,197,8.68,1.75
2022-11-29,51,26.6,20.0,22.6,29.0,22.9,25.5,2022-11-29T06:38,2022-11-29T17:21,38583.65,31362.04,0.30,0.30,0.00,3.0,10.2,28.8,219,10.38,2.10
2022-11-30,55,21.7,13.0,16.8,25.1,11.6,16.9,2022-11-30T06:39,2022-11-30T17:21,38539.57,0.00,2.80,2.80,0.00,9.0,16.6,45.7,29,3.47,0.82
2022-12-01,51,12.5,10.0,11.2,10.8,7.9,9.2,2022-12-01T06:40,2022-12-01T17:21,38497.18,0.00,1.20,1.20,0.00,11.0,14.8,36.7,32,2.49,0.66
2022-12-02,55,13.2,8.4,10.3,12.0,6.0,8.5,2022-12-02T06:40,2022-12-02T17:21,38456.53,4701.52,5.20,5.20,0.00,12.0,12.8,33.1,30,4.73,0.75
2022-12-03,3,21.7,11.7,16.3,24.0,10.5,16.8,2022-12-03T06:41,2022-12-03T17:21,38417.71,24839.82,0.00,0.00,0.00,0.0,9.8,26.3,31,10.12,1.78
2022-12-04,51,19.6,14.5,16.5,20.3,14.2,16.5,2022-12-04T06:42,2022-12-04T17:21,38380.79,7130.88,0.60,0.60,0.00,4.0,11.8,30.6,34,6.42,1.25
2022-12-05,51,14.6,10.2,12.4,14.1,7.3,10.5,2022-12-05T06:42,2022-12-05T17:22,38345.85,10675.45,0.90,0.90,0.00,7.0,15.1,40.7,41,5.74,1.16
2022-12-06,3,14.6,9.5,11.9,13.1,6.8,10.1,2022-12-06T06:43,2022-12-06T17:22,38312.96,0.00,0.00,0.00,0.00,0.0,14.0,37.4,25,4.77,1.10
2022-12-07,3,18.3,9.5,13.7,17.2,8.2,12.7,2022-12-07T06:44,2022-12-07T17:22,38282.19,35340.71,0.00,0.00,0.00,0.0,10.9,30.6,36,13.09,2.12
2022-12-08,2,20.1,10.7,15.0,20.4,9.9,14.7,2022-12-08T06:44,2022-12-08T17:22,38253.62,31780.32,0.00,0.00,0.00,0.0,8.7,23.8,41,12.01,2.05
2022-12-09,51,19.8,11.6,14.5,19.0,11.0,13.8,2022-12-09T06:45,2022-12-09T17:22,38227.31,30494.15,0.10,0.10,0.00,1.0,13.2,33.5,42,10.26,1.82
2022-12-10,3,20.5,10.4,14.8,20.1,9.1,13.5,2022-12-10T06:46,2022-12-10T17:22,38203.02,29434.63,0.00,0.00,0.00,0.0,13.9,37.1,34,13.33,2.46
2022-12-11,51,14.8,11.2,12.7,12.6,9.1,10.7,2022-12-11T06:46,2022-12-11T17:23,38180.59,5110.08,0.30,0.30,0.00,3.0,16.3,42.1,35,5.64,1.29
2022-12-12,3,12.8,9.3,11.2,10.0,6.5,8.7,2022-12-12T06:47,2022-12-12T17:23,38160.04,9568.51,0.00,0.00,0.00,0.0,16.3,43.9,33,7.16,1.38
2022-12-13,55,10.9,7.3,9.3,8.5,4.2,6.6,2022-12-13T06:48,2022-12-13T17:23,38141.39,0.00,3.60,3.60,0.00,13.0,14.1,37.1,35,2.98,0.85
2022-12-14,55,9.3,7.8,8.2,6.2,4.4,5.4,2022-12-14T06:48,2022-12-14T17:24,38124.66,177.58,8.00,8.00,0.00,22.0,18.5,47.9,36,3.35,0.59
2022-12-15,61,11.4,7.8,9.6,10.4,5.5,8.1,2022-12-15T06:49,2022-12-15T17:24,38109.86,0.00,8.60,8.60,0.00,18.0,11.5,28.8,28,3.41,0.56
2022-12-16,63,14.1,10.8,12.4,13.7,9.7,11.7,2022-12-16T06:49,2022-12-16T17:24,38097.01,0.00,12.90,12.90,0.00,24.0,12.8,32.8,41,2.78,0.53
2022-12-17,53,11.0,3.9,8.0,9.3,-1.8,3.9,2022-12-17T06:50,2022-12-17T17:25,38086.12,13302.12,1.00,1.00,0.00,2.0,21.9,56.9,29,7.01,1.55
2022-12-18,0,10.2,-0.1,4.4,6.1,-5.5,-0.3,2022-12-18T06:51,2022-12-18T17:25,38077.23,35076.03,0.00,0.00,0.00,0.0,17.2,48.6,39,16.12,2.61
2022-12-19,0,13.8,0.7,6.2,10.7,-3.5,2.7,2022-12-19T06:51,2022-12-19T17:26,38070.32,35041.50,0.00,0.00,0.00,0.0,10.2,28.4,36,15.89,2.39
2022-12-20,0,17.8,3.3,9.5,17.3,0.5,7.7,2022-12-20T06:52,2022-12-20T17:26,38065.43,35007.96,0.00,0.00,0.00,0.0,8.4,22.0,22,15.39,2.30
2022-12-21,51,16.3,6.4,10.5,13.9,3.3,7.9,2022-12-21T06:52,2022-12-21T17:27,38062.55,34975.53,0.10,0.10,0.00,1.0,13.4,36.7,21,15.83,2.63
2022-12-22,0,16.4,4.3,9.3,13.6,0.3,6.0,2022-12-22T06:53,2022-12-22T17:27,38061.72,34944.30,0.00,0.00,0.00,0.0,11.3,32.8,35,16.25,2.78
2022-12-23,0,15.2,3.5,8.5,12.7,0.1,5.4,2022-12-23T06:53,2022-12-23T17:28,38062.93,34914.36,0.00,0.00,0.00,0.0,11.2,32.4,39,15.88,2.51
2022-12-24,0,15.4,3.9,8.5,12.6,0.6,5.3,2022-12-24T06:54,2022-12-24T17:28,38066.19,34885.82,0.00,0.00,0.00,0.0,12.3,33.5,40,15.97,2.57
2022-12-25,1,14.8,2.6,7.9,11.8,-0.8,4.8,2022-12-25T06:54,2022-12-25T17:29,38071.53,34858.79,0.00,0.00,0.00,0.0,10.2,29.9,38,16.37,2.48
2022-12-26,1,16.4,1.8,8.7,15.0,-1.3,6.6,2022-12-26T06:55,2022-12-26T17:29,38078.94,34833.34,0.00,0.00,0.00,0.0,6.5,17.3,60,15.42,2.29
2022-12-27,1,18.1,4.7,10.8,16.8,2.1,8.9,2022-12-27T06:55,2022-12-27T17:30,38088.44,34809.60,0.00,0.00,0.00,0.0,8.0,24.5,24,15.21,2.36
2022-12-28,3,17.1,6.1,11.8,15.2,4.0,9.9,2022-12-28T06:55,2022-12-28T17:30,38100.03,34787.64,0.00,0.00,0.00,0.0,12.0,31.3,35,14.46,2.38
2022-12-29,51,15.5,8.0,11.1,14.0,5.6,9.0,2022-12-29T06:56,2022-12-29T17:31,38113.73,23967.57,0.10,0.10,0.00,1.0,11.5,30.6,34,8.61,1.51
2022-12-30,3,14.4,8.0,10.2,12.1,5.5,7.6,2022-12-30T06:56,2022-12-30T17:32,38129.66,23582.88,0.00,0.00,0.00,0.0,13.6,35.6,39,9.53,1.52
2022-12-31,3,16.3,7.5,10.7,14.4,4.8,8.5,2022-12-31T06:56,2022-12-31T17:32,38147.89,25200.00,0.00,0.00,0.00,0.0,15.1,38.5,36,12.41,1.88
2023-01-01,0,19.0,6.5,12.2,17.9,4.1,10.6,2023-01-01T06:57,2023-01-01T17:33,38168.34,34715.04,0.00,0.00,0.00,0.0,12.7,35.3,31,15.15,2.32
2023-01-02,3,18.7,9.8,14.0,17.8,8.3,12.8,2023-01-02T06:57,2023-01-02T17:33,38190.96,29817.55,0.00,0.00,0.00,0.0,14.3,37.4,35,10.58,1.85
2023-01-03,51,15.6,11.4,13.1,14.1,9.8,11.5,2023-01-03T06:57,2023-01-03T17:34,38215.71,16083.50,0.50,0.50,0.00,4.0,14.6,38.5,38,7.08,1.32
2023-01-04,51,17.8,10.9,13.8,17.4,9.1,12.8,2023-01-04T06:57,2023-01-04T17:35,38242.51,18278.57,0.10,0.10,0.00,1.0,10.5,27.7,30,8.33,1.49
2023-01-05,51,19.7,9.4,13.6,19.2,8.0,12.7,2023-01-05T06:58,2023-01-05T17:35,38271.32,26697.48,0.10,0.10,0.00,1.0,10.4,29.9,43,12.72,2.14
2023-01-06,1,19.4,9.5,13.9,17.7,8.0,12.5,2023-01-06T06:58,2023-01-06T17:36,38302.07,34739.74,0.00,0.00,0.00,0.0,13.2,37.4,35,14.94,2.50
2023-01-07,0,19.9,7.1,12.9,18.0,4.4,10.7,2023-01-07T06:58,2023-01-07T17:37,38334.71,34863.52,0.00,0.00,0.00,0.0,11.1,31.0,31,16.35,2.77
2023-01-08,53,15.6,6.7,11.7,13.7,4.4,10.3,2023-01-08T06:58,2023-01-08T17:38,38369.19,13034.13,1.20,1.20,0.00,5.0,8.7,23.0,31,6.41,1.17
2023-01-09,63,16.0,11.1,13.5,16.4,10.3,13.2,2023-01-09T06:58,2023-01-09T17:38,38405.44,5857.11,15.10,15.10,0.00,17.0,8.9,24.5,35,5.65,0.94
2023-01-10,51,15.4,12.0,13.9,15.3,11.9,13.9,2023-01-10T06:58,2023-01-10T17:39,38443.41,0.00,0.50,0.50,0.00,4.0,9.8,25.2,30,2.80,0.58
2023-01-11,51,16.5,13.0,14.5,16.6,12.7,14.5,2023-01-11T06:58,2023-01-11T17:40,38483.04,0.00,0.40,0.40,0.00,3.0,9.3,25.6,21,3.80,0.78
2023-01-12,61,18.2,13.6,16.2,20.2,14.0,17.6,2023-01-12T06:58,2023-01-12T17:41,38524.27,1999.65,11.40,11.40,0.00,15.0,5.9,21.6,294,2.37,0.49
2023-01-13,61,19.8,16.6,18.2,22.2,18.0,20.1,2023-01-13T06:59,2023-01-13T17:41,38567.04,0.00,9.80,9.80,0.00,18.0,8.7,30.2,201,2.60,0.54
2023-01-14,53,23.9,17.1,19.6,25.0,17.8,21.3,2023-01-14T06:59,2023-01-14T17:42,38611.30,32636.54,1.90,1.90,0.00,8.0,11.3,32.0,232,12.82,2.31
2023-01-15,61,16.2,6.1,11.8,16.7,2.6,10.1,2023-01-15T06:59,2023-01-15T17:43,38657.00,542.25,4.40,4.40,0.00,11.0,16.2,42.1,35,4.00,0.84
2023-01-16,51,9.8,3.5,6.7,6.8,-0.2,3.3,2023-01-16T06:58,2023-01-16T17:44,38704.07,21148.14,0.40,0.40,0.00,3.0,15.0,38.9,41,9.80,1.43
2023-01-17,3,13.6,5.7,8.7,12.1,2.7,6.2,2023-01-17T06:58,2023-01-17T17:44,38752.46,9577.21,0.00,0.00,0.00,0.0,11.9,29.5,46,7.46,1.32
2023-01-18,2,15.3,2.9,8.2,13.6,-0.3,5.6,2023-01-18T06:58,2023-01-18T17:45,38802.12,35353.09,0.00,0.00,0.00,0.0,11.2,32.0,47,15.51,2.15
2023-01-19,2,16.4,4.9,10.2,16.1,2.2,8.5,2023-01-19T06:58,2023-01-19T17:46,38853.54,32004.24,0.00,0.00,0.00,0.0,9.2,20.9,39,11.27,1.74
2023-01-20,3,18.2,7.7,12.6,17.7,5.2,11.4,2023-01-20T06:58,2023-01-20T17:47,38906.89,35188.25,0.00,0.00,0.00,0.0,9.4,25.2,29,12.69,2.04
2023-01-21,53,14.5,8.5,11.3,13.9,6.1,10.0,2023-01-21T06:58,2023-01-21T17:47,38962.09,2077.02,3.50,3.50,0.00,12.0,12.2,29.9,17,5.50,1.01
2023-01-22,55,20.3,11.1,14.8,20.4,10.7,15.0,2023-01-22T06:58,2023-01-22T17:48,39019.05,21579.84,4.70,4.70,0.00,9.0,10.2,27.7,148,9.73,1.69
2023-01-23,55,20.3,10.1,14.5,20.6,9.2,14.4,2023-01-23T06:57,2023-01-23T17:49,39077.67,31838.50,2.20,2.20,0.00,7.0,11.0,29.5,19,11.37,1.91
2023-01-24,53,11.4,3.0,7.9,8.3,-1.9,3.7,2023-01-24T06:57,2023-01-24T17:50,39137.86,26995.82,0.90,0.90,0.00,3.0,22.5,59.8,25,12.47,2.12
2023-01-25,2,12.2,-0.7,5.5,10.6,-4.6,2.4,2023-01-25T06:57,2023-01-25T17:50,39199.52,36271.32,0.00,0.00,0.00,0.0,13.8,38.5,53,17.50,2.46
2023-01-26,3,17.9,2.3,9.8,16.1,-0.4,7.8,2023-01-26T06:57,2023-01-26T17:51,39262.57,34152.59,0.00,0.00,0.00,0.0,12.8,36.0,8,15.23,2.43
2023-01-27,3,12.3,4.8,9.2,8.8,0.8,5.6,2023-01-27T06:56,2023-01-27T17:52,39326.93,35537.72,0.00,0.00,0.00,0.0,17.0,46.8,30,17.36,2.83
2023-01-28,1,11.2,1.0,5.5,8.0,-3.6,1.4,2023-01-28T06:56,2023-01-28T17:53,39392.49,36558.27,0.00,0.00,0.00,0.0,15.4,42.8,40,18.46,2.72
2023-01-29,0,14.0,0.5,6.3,11.1,-3.5,2.9,2023-01-29T06:56,2023-01-29T17:53,39459.18,36630.41,0.00,0.00,0.00,0.0,10.7,29.5,46,18.81,2.77
2023-01-30,0,18.2,1.4,8.9,16.8,-2.1,6.4,2023-01-30T06:55,2023-01-30T17:54,39526.89,36703.59,0.00,0.00,0.00,0.0,8.5,21.2,33,18.96,2.93
2023-01-31,3,20.1,2.0,12.0,18.6,-1.2,10.3,2023-01-31T06:55,2023-01-31T17:55,39595.57,36777.70,0.00,0.00,0.00,0.0,13.2,36.7,214,18.40,2.96
2023-02-01,51,21.4,13.3,16.3,21.2,13.1,16.5,2023-02-01T06:54,2023-02-01T17:55,39665.12,22968.48,0.40,0.40,0.00,2.0,9.8,28.4,238,9.63,1.83
2023-02-02,3,22.7,10.6,16.2,23.6,10.1,16.5,2023-02-02T06:54,2023-02-02T17:56,39735.45,33652.41,0.00,0.00,0.00,0.0,6.8,21.2,118,11.42,2.12
2023-02-03,3,19.5,9.5,15.2,20.7,8.5,15.4,2023-02-03T06:53,2023-02-03T17:57,39806.50,11156.82,0.00,0.00,0.00,0.0,5.4,18.4,293,7.99,1.44
2023-02-04,53,17.6,13.6,15.4,18.8,14.0,16.2,2023-02-04T06:53,2023-02-04T17:58,39878.17,50.48,4.10,4.10,0.00,21.0,6.4,19.8,236,5.34,1.01
2023-02-05,61,18.8,13.5,15.4,20.1,14.0,16.4,2023-02-05T06:52,2023-02-05T17:58,39950.39,2620.43,10.30,10.30,0.00,22.0,7.1,19.8,331,6.40,1.13
2023-02-06,55,20.8,13.7,16.4,21.6,14.2,17.5,2023-02-06T06:52,2023-02-06T17:59,40023.09,8550.46,6.70,6.70,0.00,12.0,10.3,28.8,199,7.36,1.36
2023-02-07,51,22.1,14.9,17.9,23.1,16.1,19.3,2023-02-07T06:51,2023-02-07T18:00,40096.20,25651.82,1.10,1.10,0.00,8.0,9.7,31.0,294,10.04,1.86
2023-02-08,55,21.6,15.5,17.8,22.5,16.7,19.0,2023-02-08T06:51,2023-02-08T18:00,40170.30,8589.52,4.10,4.10,0.00,11.0,10.1,25.6,200,8.56,1.70
2023-02-09,61,20.2,15.1,17.2,21.1,16.2,18.4,2023-02-09T06:50,2023-02-09T18:01,40245.70,4820.72,6.00,6.00,0.00,12.0,12.9,34.6,217,6.87,1.28
2023-02-10,63,19.0,15.6,17.1,21.6,16.3,18.9,2023-02-10T06:50,2023-02-10T18:02,40322.27,0.00,18.40,18.40,0.00,14.0,7.3,18.4,11,3.48,0.71
2023-02-11,53,20.4,15.1,17.3,22.0,16.0,18.7,2023-02-11T06:49,2023-02-11T18:02,40399.95,281.78,1.30,1.30,0.00,6.0,9.0,25.9,213,5.30,1.03
2023-02-12,51,22.4,15.8,19.1,23.7,17.0,20.5,2023-02-12T06:48,2023-02-12T18:03,40478.65,18164.93,1.40,1.40,0.00,6.0,17.5,44.3,201,9.23,1.74
2023-02-13,53,25.0,14.4,19.0,27.8,13.5,20.3,2023-02-13T06:48,2023-02-13T18:04,40558.28,31451.44,1.70,1.70,0.00,8.0,12.2,30.2,259,12.88,2.45
2023-02-14,61,14.8,9.0,11.9,13.2,6.7,9.8,2023-02-14T06:47,2023-02-14T18:04,40638.75,15649.39,4.40,4.40,0.00,5.0,14.4,37.1,41,9.80,1.72
2023-02-15,3,15.4,6.5,9.9,13.8,3.2,7.1,2023-02-15T06:46,2023-02-15T18:05,40719.99,37977.91,0.00,0.00,0.00,0.0,16.4,42.1,38,17.50,2.66
2023-02-16,0,18.0,3.8,10.1,17.4,0.9,8.1,2023-02-16T06:45,2023-02-16T18:06,40801.91,38064.46,0.00,0.00,0.00,0.0,11.0,30.2,34,20.56,3.07
2023-02-17,1,20.2,4.2,12.5,21.1,2.0,11.7,2023-02-17T06:45,2023-02-17T18:06,40884.44,38151.54,0.00,0.00,0.00,0.0,6.4,16.2,47,19.88,3.20
2023-02-18,3,23.3,10.9,17.2,23.3,9.7,17.3,2023-02-18T06:44,2023-02-18T18:07,40967.49,36558.69,0.00,0.00,0.00,0.0,11.8,32.4,225,15.79,2.88
2023-02-19,3,23.3,13.4,18.0,23.0,13.3,17.8,2023-02-19T06:43,2023-02-19T18:07,41050.99,33506.45,0.00,0.00,0.00,0.0,13.0,35.3,32,15.76,3.16
2023-02-20,51,19.9,12.2,15.1,19.4,10.3,13.6,2023-02-20T06:42,2023-02-20T18:08,41134.86,28048.06,0.50,0.50,0.00,3.0,15.1,40.0,38,13.49,2.56
2023-02-21,0,16.7,5.8,11.1,14.1,1.8,7.9,2023-02-21T06:42,2023-02-21T18:09,41219.03,38503.30,0.00,0.00,0.00,0.0,15.7,42.1,40,21.00,3.60
2023-02-22,0,18.1,4.2,10.7,16.0,1.2,8.0,2023-02-22T06:41,2023-02-22T18:09,41303.42,38591.70,0.00,0.00,0.00,0.0,10.7,29.2,41,20.93,3.48
2023-02-23,0,22.0,6.5,14.5,22.2,3.9,13.4,2023-02-23T06:40,2023-02-23T18:10,41387.96,38680.13,0.00,0.00,0.00,0.0,6.6,18.0,39,20.30,3.49
2023-02-24,3,22.7,9.9,15.3,23.3,7.1,14.0,2023-02-24T06:39,2023-02-24T18:10,41472.58,38768.51,0.00,0.00,0.00,0.0,13.9,36.4,32,18.04,3.41
2023-02-25,3,12.8,8.5,10.7,10.0,5.4,7.8,2023-02-25T06:38,2023-02-25T18:11,41557.20,1756.50,0.00,0.00,0.00,0.0,15.1,42.1,36,6.40,1.47
2023-02-26,0,16.8,5.3,10.7,15.0,2.0,8.0,2023-02-26T06:37,2023-02-26T18:11,41641.75,38944.82,0.00,0.00,0.00,0.0,14.5,39.6,46,21.03,3.31
2023-02-27,0,18.3,3.9,10.6,16.3,0.6,8.1,2023-02-27T06:37,2023-02-27T18:12,41726.18,38990.63,0.00,0.00,0.00,0.0,11.2,32.0,39,21.56,3.50
2023-02-28,0,20.9,5.4,13.1,20.9,3.4,11.9,2023-02-28T06:36,2023-02-28T18:13,41811.07,39024.91,0.00,0.00,0.00,0.0,8.2,25.6,43,20.52,3.43
2023-03-01,1,24.2,9.0,16.0,24.6,7.5,15.2,2023-03-01T06:35,2023-03-01T18:13,41896.68,39058.65,0.00,0.00,0.00,0.0,10.5,29.2,45,19.36,3.72
2023-03-02,3,19.4,10.4,14.8,18.1,8.7,13.6,2023-03-02T06:34,2023-03-02T18:14,41982.96,26656.65,0.00,0.00,0.00,0.0,11.5,32.0,31,14.31,2.69
2023-03-03,51,20.5,8.2,14.5,20.3,7.0,14.0,2023-03-03T06:33,2023-03-03T18:14,42069.83,25258.53,0.10,0.10,0.00,1.0,5.9,19.1,40,15.87,2.79
2023-03-04,3,21.0,11.0,15.6,18.9,10.1,14.3,2023-03-04T06:32,2023-03-04T18:15,42157.23,39156.80,0.00,0.00,0.00,0.0,10.3,29.2,47,18.77,3.40
2023-03-05,0,21.0,6.8,14.3,21.1,4.5,12.9,2023-03-05T06:31,2023-03-05T18:15,42245.09,39188.57,0.00,0.00,0.00,0.0,6.9,20.2,58,21.78,3.77
2023-03-06,0,22.2,5.5,14.2,21.9,2.7,12.4,2023-03-06T06:30,2023-03-06T18:16,42333.35,39219.90,0.00,0.00,0.00,0.0,7.6,18.0,44,22.07,4.00
2023-03-07,1,23.1,8.8,15.3,22.5,6.4,13.6,2023-03-07T06:29,2023-03-07T18:16,42421.93,39250.81,0.00,0.00,0.00,0.0,10.5,23.8,202,21.45,4.05
2023-03-08,2,23.8,12.2,17.4,23.0,10.4,16.0,2023-03-08T06:28,2023-03-08T18:17,42510.79,34395.33,0.00,0.00,0.00,0.0,9.7,28.4,208,19.95,3.93
2023-03-09,3,24.5,10.9,17.9,25.1,9.5,17.5,2023-03-09T06:27,2023-03-09T18:17,42599.85,35624.16,0.00,0.00,0.00,0.0,7.9,25.2,33,17.81,3.44
2023-03-10,0,26.2,10.3,17.9,27.3,9.0,17.5,2023-03-10T06:26,2023-03-10T18:18,42689.05,39341.31,0.00,0.00,0.00,0.0,9.2,24.1,140,22.20,4.31
2023-03-11,2,25.3,12.3,18.4,25.8,11.0,18.0,2023-03-11T06:25,2023-03-11T18:18,42778.32,38966.58,0.00,0.00,0.00,0.0,8.6,24.1,191,20.63,4.04
2023-03-12,51,22.1,13.4,17.2,21.3,12.9,16.7,2023-03-12T06:24,2023-03-12T18:19,42867.62,17618.53,0.50,0.50,0.00,2.0,14.9,40.3,33,9.41,2.12
2023-03-13,3,19.0,12.5,15.4,18.6,10.0,14.0,2023-03-13T06:23,2023-03-13T18:19,42956.86,10800.00,0.00,0.00,0.00,0.0,15.3,40.7,36,9.06,2.12
2023-03-14,1,22.8,9.2,15.1,22.3,8.1,14.2,2023-03-14T06:22,2023-03-14T18:19,43046.00,39457.66,0.00,0.00,0.00,0.0,8.1,23.8,211,22.37,4.01
2023-03-15,3,24.1,9.5,17.1,24.6,7.9,16.8,2023-03-15T06:21,2023-03-15T18:20,43134.96,33451.87,0.00,0.00,0.00,0.0,7.6,25.9,205,15.18,2.94
2023-03-16,3,26.8,11.2,18.5,27.5,10.4,18.6,2023-03-16T06:20,2023-03-16T18:20,43223.69,39514.45,0.00,0.00,0.00,0.0,11.0,29.2,131,22.09,4.39
2023-03-17,3,25.1,13.7,18.9,24.5,14.6,19.5,2023-03-17T06:19,2023-03-17T18:21,43312.12,26793.12,0.00,0.00,0.00,0.0,12.9,36.0,253,14.35,3.00
2023-03-18,53,22.9,14.5,18.4,23.2,14.8,19.3,2023-03-18T06:18,2023-03-18T18:21,43400.20,32598.76,2.40,2.40,0.00,11.0,12.7,34.2,81,14.43,2.67
2023-03-19,3,23.3,14.6,18.4,23.1,15.4,18.7,2023-03-19T06:17,2023-03-19T18:22,43487.87,8258.74,0.00,0.00,0.00,0.0,12.6,34.6,193,10.76,2.37
2023-03-20,51,24.1,12.6,18.5,24.5,12.9,19.3,2023-03-20T06:16,2023-03-20T18:22,43575.66,20272.04,0.10,0.10,0.00,1.0,13.2,36.4,218,11.17,2.35
2023-03-21,3,26.6,16.6,21.5,27.3,17.9,22.8,2023-03-21T06:15,2023-03-21T18:23,43663.83,21290.75,0.00,0.00,0.00,0.0,17.1,45.0,217,12.79,2.93
2023-03-22,65,28.2,19.4,22.1,30.2,21.2,24.1,2023-03-22T06:14,2023-03-22T18:23,43752.33,20152.32,14.90,14.90,0.00,6.0,23.4,63.4,211,13.09,2.79
2023-03-23,63,24.5,18.5,20.6,27.3,20.2,23.3,2023-03-23T06:13,2023-03-23T18:24,43841.09,779.29,19.40,19.40,0.00,15.0,15.0,49.7,213,6.93,1.34
2023-03-24,65,20.4,18.0,19.3,23.9,20.7,22.0,2023-03-24T06:12,2023-03-24T18:24,43930.06,0.00,44.70,44.70,0.00,21.0,8.5,35.3,214,3.38,0.73
2023-03-25,65,18.6,16.7,17.8,21.2,18.1,19.9,2023-03-25T06:11,2023-03-25T18:24,44019.18,0.00,48.90,48.90,0.00,24.0,7.1,32.4,218,4.23,0.85
2023-03-26,63,17.5,14.0,15.4,17.7,13.9,15.5,2023-03-26T06:10,2023-03-26T18:25,44108.40,0.00,15.20,15.20,0.00,15.0,10.4,26.3,32,5.39,1.10
2023-03-27,61,15.9,12.0,13.7,15.9,11.3,13.5,2023-03-27T06:09,2023-03-27T18:25,44197.66,0.00,9.30,9.30,0.00,13.0,10.7,30.2,26,4.31,0.79
2023-03-28,53,19.6,11.1,14.5,21.0,10.4,14.5,2023-03-28T06:08,2023-03-28T18:26,44286.91,6353.55,1.30,1.30,0.00,3.0,8.8,24.8,19,9.05,1.63
2023-03-29,63,18.8,13.4,15.7,19.8,13.7,16.6,2023-03-29T06:07,2023-03-29T18:26,44376.07,0.00,13.40,13.40,0.00,20.0,7.0,20.5,237,5.79,1.14
2023-03-30,61,22.6,14.9,17.9,24.5,16.2,19.6,2023-03-30T06:06,2023-03-30T18:27,44465.10,17440.16,4.00,4.00,0.00,13.0,6.5,20.9,311,11.87,2.22
2023-03-31,51,20.6,15.6,17.8,21.9,17.1,19.5,2023-03-31T06:05,2023-03-31T18:27,44553.94,1204.93,2.70,2.70,0.00,9.0,8.7,24.1,218,6.02,1.22
2023-04-01,55,23.7,16.0,18.6,25.6,17.7,20.3,2023-04-01T06:03,2023-04-01T18:28,44642.53,23260.68,5.00,5.00,0.00,14.0,10.0,31.0,219,12.38,2.28
2023-04-02,53,24.1,15.7,19.6,26.9,17.1,21.8,2023-04-02T06:02,2023-04-02T18:28,44730.80,16292.40,1.00,1.00,0.00,4.0,6.2,18.4,157,10.94,2.14
2023-04-03,3,25.6,17.1,20.5,26.8,18.9,22.0,2023-04-03T06:01,2023-04-03T18:28,44818.71,29556.63,0.00,0.00,0.00,0.0,14.3,38.5,188,19.18,3.79
2023-04-04,61,23.3,18.2,20.2,23.9,19.0,21.3,2023-04-04T06:00,2023-04-04T18:29,44906.18,3600.00,5.70,5.70,0.00,8.0,19.8,50.8,188,6.99,1.64
2023-04-05,61,22.5,18.8,20.0,27.0,20.9,23.0,2023-04-05T05:59,2023-04-05T18:29,44993.16,0.00,12.80,12.80,0.00,19.0,14.7,42.5,219,5.32,1.06
2023-04-06,55,25.5,16.0,20.8,27.6,16.2,23.2,2023-04-06T05:58,2023-04-06T18:30,45079.58,28537.32,4.30,4.30,0.00,9.0,14.5,40.7,255,12.63,2.41
2023-04-07,3,21.3,11.0,15.9,22.1,9.2,15.1,2023-04-07T05:57,2023-04-07T18:30,45165.39,41052.76,0.00,0.00,0.00,0.0,15.8,43.6,43,21.51,3.64
2023-04-08,3,18.9,11.8,15.2,18.3,11.1,14.2,2023-04-08T05:56,2023-04-08T18:31,45250.52,17302.58,0.00,0.00,0.00,0.0,10.7,30.6,39,12.59,2.45
2023-04-09,3,22.4,9.1,15.8,23.7,7.9,15.7,2023-04-09T05:55,2023-04-09T18:31,45335.48,41805.74,0.00,0.00,0.00,0.0,7.6,23.4,144,24.25,4.27
2023-04-10,3,25.0,11.4,18.2,27.1,10.6,18.6,2023-04-10T05:54,2023-04-10T18:31,45420.52,42172.21,0.00,0.00,0.00,0.0,9.8,29.2,207,22.89,4.24
2023-04-11,61,25.2,16.0,19.9,27.3,17.0,21.5,2023-04-11T05:54,2023-04-11T18:32,45505.58,24156.89,4.30,4.30,0.00,9.0,12.5,33.1,214,13.24,2.55
